,alpha_power_1,alpha_power_2,alpha_power_3,alpha_power_4,alpha_power_5,alpha_power_6,alpha_power_7,alpha_power_8,beta_power_1,beta_power_2,beta_power_3,beta_power_4,beta_power_5,beta_power_6,beta_power_7,beta_power_8,gamma_power_1,gamma_power_2,gamma_power_3,gamma_power_4,gamma_power_5,gamma_power_6,gamma_power_7,gamma_power_8,theta_power_1,theta_power_2,theta_power_3,theta_power_4,theta_power_5,theta_power_6,theta_power_7,theta_power_8,label
29,0.012791477,0.011471432,0.013296365,0.013245479,0.014407374,0.012140353,0.016374054,0.032950372,0.018117388,0.013475392,0.017924152,0.017159361,0.016811994,0.014666251,0.024183255,0.060421588,0.02142712,0.009079714,0.019023829,0.016620784,0.148805574,0.333063137,0.028572789,0.09509757,0.030761011,0.030121707,0.032356457,0.032784803,0.059053794,0.039071766,0.036643633,0.06039947,pain
30,0.007756212,0.011304377,0.009396282,0.006799048,0.007851724,0.004944112,0.010609771,0.008724004,0.026768109,0.037022944,0.034775372,0.023544706,0.024571901,0.015322881,0.015042453,0.042340118,0.056715444,0.082839504,0.080670835,0.053231845,0.071691348,0.039015496,0.046757037,0.130849308,0.008701084,0.015740989,0.010928057,0.009029192,0.011886284,0.007860165,0.035970739,0.0114619,pain
31,0.01069142,0.016342057,0.011972014,0.011980349,0.015227777,0.013526359,0.01112234,0.013633408,0.020048636,0.027413453,0.023066181,0.020395612,0.031454974,0.024072325,0.011774456,0.039388936,0.045690345,0.064267278,0.053091393,0.04606611,0.087884785,0.057328219,0.027265398,0.126071698,0.022392986,0.031505024,0.02056122,0.019936694,0.021031009,0.020939563,0.035053615,0.021609349,pain
32,0.008805241,0.01313555,0.01186015,0.002894945,0.016572948,0.013316341,0.012575053,0.009960182,0.02405795,0.031390118,0.039697289,0.006686597,0.06842499,0.031381018,0.01112652,0.048985892,0.04952746,0.062849299,0.084670979,0.01466935,0.163064387,0.06711095,0.019263751,0.106154837,0.015455693,0.023397703,0.016738853,0.004245102,0.019613801,0.018152142,0.049591405,0.015095375,pain
33,0.011619307,0.0129176,0.010800518,0.00867726,0.015335299,0.015652509,0.010328273,0.018468255,0.031190829,0.031855716,0.033315547,0.023717015,0.056184092,0.037519321,0.009616815,0.090652768,0.060428017,0.057180453,0.06981134,0.045457221,0.135660464,0.07394646,0.023697287,0.205174606,0.017845889,0.01883699,0.013760411,0.012130278,0.017350419,0.020520186,0.039386179,0.020240256,pain
34,0.004287388,0.004110315,0.003747533,0.002983846,0.005119685,0.005514341,0.004617539,0.006888353,0.012363311,0.009127813,0.00944255,0.006457023,0.015921358,0.011253328,0.00525485,0.034366899,0.02517078,0.019705806,0.021992952,0.014698107,0.039171182,0.021702347,0.016813007,0.078837643,0.00850844,0.007496767,0.005257482,0.003937964,0.005927312,0.0062173,0.020618101,0.011089995,pain
35,0.032569909,0.033972006,0.035437098,0.033814735,0.042318314,0.073192444,0.007182536,0.024792964,0.092340091,0.076975379,0.105397063,0.060807177,0.15977386,0.128105575,0.006854414,0.111021621,0.125932332,0.132148734,0.168117124,0.084482122,0.332603933,0.153535516,0.015260111,0.181162425,0.044237252,0.053012784,0.037964399,0.045242966,0.048091779,0.069480469,0.025777096,0.030962992,pain
36,0.040754885,0.047322352,0.048675958,0.065443971,0.061883553,0.118273216,0.00813213,0.024499446,0.137976275,0.088638838,0.140543937,0.103679686,0.186590634,0.156021661,0.006928103,0.148449584,0.417815833,0.085743377,0.421363575,0.124817012,0.324578181,0.137046555,0.010903962,0.210217373,0.036930681,0.06984211,0.038405682,0.069050771,0.041064218,0.076486125,0.028070696,0.035983415,pain
37,0.004492976,0.004794517,0.00414914,0.005665816,0.003581144,0.004949504,0.008258851,0.004121947,0.007150973,0.006662676,0.00674249,0.00724729,0.008825811,0.006829851,0.010622837,0.014604908,0.015920644,0.012727595,0.015053618,0.013252641,0.022669609,0.012981614,0.026771063,0.03773129,0.013351642,0.014689715,0.011692405,0.014923123,0.009437132,0.013502721,0.030586435,0.008935984,pain
38,0.006665186,0.006233492,0.005749484,0.004633665,0.006064525,0.005572357,0.01670441,0.007332796,0.00969908,0.008257097,0.008575775,0.00783335,0.010283618,0.007669021,0.0194007,0.02669225,0.011766768,0.009716799,0.011008937,0.008594507,0.018371801,0.009844242,0.032140893,0.056278232,0.016667039,0.015358499,0.017311622,0.023013604,0.016209572,0.015626299,0.082623069,0.016630818,pain
